iter	Passed	Remaining
744	56748	19424
745	56820	19346
746	56953	19289
747	57025	19211
748	57090	19131
749	57169	19056
750	57244	18980
751	57292	18894
752	57352	18812
753	57445	18742
754	57485	18654
755	57547	18573
756	57614	18494
757	57721	18428
758	57793	18350
759	57860	18271
760	57990	18212
761	58060	18134
762	58125	18054
763	58191	17975
764	58281	17903
765	58335	17820
766	58388	17737
767	58507	17674
768	58571	17594
769	58624	17511
770	58711	17438
771	58816	17370
772	58872	17288
773	58955	17214
774	59024	17136
775	59090	17057
776	59154	16977
777	59240	16903
778	59306	16824
779	59377	16747
780	59437	16666
781	59523	16593
782	59588	16514
783	59655	16435
784	59737	16361
785	59852	16295
786	59923	16218
787	60018	16147
788	60085	16068
789	60154	15990
790	60227	15913
791	60311	15839
792	60397	15765
793	60491	15694
794	60566	15617
795	60651	15543
796	60758	15475
797	60825	15397
798	60901	15320
799	60972	15243
800	61065	15171
801	61125	15090
802	61211	15017
803	61296	14942
804	61353	14862
805	61448	14790
806	61521	14713
807	61581	14633
808	61681	14562
809	61761	14487
810	61826	14408
811	61916	14335
812	62005	14262
813	62070	14183
814	62151	14108
815	62230	14032
816	62306	13956
817	62384	13880
818	62454	13802
819	62520	13723
820	62594	13647
821	62672	13571
822	62747	13494
823	62833	13420
824	62930	13348
825	63054	13282
826	63176	13215
827	63267	13142
828	63366	13070
829	63480	13002
830	63584	12931
831	63667	12855
832	63764	12783
833	63835	12705
834	63928	12632
835	64017	12558
836	64087	12480
837	64184	12408
838	64287	12336
839	64355	12258
840	64441	12183
841	64584	12119
842	64736	12056
843	64841	11984
844	64945	11913
845	65014	11834
846	65096	11758
847	65158	11679
848	65217	11599
849	65287	11521
850	65427	11455
851	65524	11382
852	65593	11303
853	65692	11230
854	65765	11153
855	65859	11079
856	66077	11025
857	66175	10952
858	66306	10883
859	66427	10813
860	66498	10735
861	66618	10665
862	66697	10588
863	66760	10508
864	66896	10440
865	66964	10361
866	67039	10284
867	67136	10209
868	67216	10132
869	67272	10052
870	67352	9975
871	67434	9898
872	67497	9819
873	67556	9739
874	67649	9664
875	67728	9587
876	67821	9511
877	67867	9430
878	67934	9351
879	67998	9272
880	68086	9196
881	68151	9117
882	68221	9039
883	68282	8960
884	68413	8889
885	68493	8812
886	68567	8735
887	68661	8660
888	68738	8582
889	68812	8504
890	68865	8424
891	68964	8350
892	69033	8271
893	69128	8196
894	69190	8117
895	69255	8038
896	69324	7960
897	69424	7885
898	69528	7811
899	69692	7743
900	69784	7667
901	69885	7592
902	69997	7519
903	70073	7441
904	70161	7365
905	70259	7289
906	70367	7215
907	70507	7143
908	70612	7068
909	70692	6991
910	70780	6914
911	70882	6839
912	70956	6761
913	71080	6688
914	71152	6609
915	71223	6531
916	71289	6452
917	71386	6376
918	71473	6299
919	71566	6223
920	71641	6145
921	71704	6066
922	71761	5986
923	71848	5909
924	71913	5830
925	72020	5755
926	72108	5678
927	72182	5600
928	72255	5522
929	72322	5443
930	72413	5366
931	72484	5288
932	72575	5211
933	72689	5136
934	72753	5057
935	72853	4981
936	72925	4903
937	72991	4824
938	73069	4746
939	73158	4669
940	73259	4593
941	73366	4517
942	73449	4439
943	73555	4363
944	73717	4290
945	73816	4213
946	73887	4135
947	73998	4059
948	74093	3981
949	74158	3903
950	74250	3825
951	74319	3747
952	74388	3668
953	74451	3589
954	74552	3512
955	74633	3434
956	74810	3361
957	74960	3286
958	75100	3210
959	75186	3132
960	75248	3053
961	75337	2975
962	75450	2898
963	75530	2820
964	75689	2745
965	75760	2666
966	75849	2588
967	75929	2510
968	75998	2431
969	76058	2352
970	76127	2273
971	76208	2195
972	76265	2116
973	76345	2037
974	76403	1959
975	76479	1880
976	76544	1801
977	76625	1723
978	76714	1645
979	76790	1567
980	76849	1488
981	76915	1409
982	77003	1331
983	77065	1253
984	77140	1174
985	77210	1096
986	77293	1018
987	77381	939
988	77454	861
989	77525	783
990	77608	704
991	77691	626
992	77756	548
993	77844	469
994	77947	391
995	78049	313
996	78161	235
997	78225	156
998	78319	78
999	78401	0
